Time,Voltage,Phase
0,0,0
0.01,2.06783e-14,0.628319
0.02,2.06783e-14,1.25664
0.03,2.06783e-14,1.88496
0.04,2.06783e-14,2.51327
0.05,2.06783e-14,3.14159
0.06,2.06783e-14,3.76991
0.07,2.06783e-14,4.39823
0.08,2.06783e-14,5.02655
0.09,2.06783e-14,5.65487
0.1,2.06783e-14,6.28319
0.11,2.06783e-14,6.9115
0.12,2.06783e-14,7.53982
0.13,2.06783e-14,8.16814
0.14,2.06783e-14,8.79646
0.15,2.06783e-14,9.42478
0.16,2.06783e-14,10.0531
0.17,2.06783e-14,10.6814
0.18,2.06783e-14,11.3097
0.19,2.06783e-14,11.9381
0.2,2.06783e-14,12.5664
0.21,2.06783e-14,13.1947
0.22,2.06783e-14,13.823
0.23,2.06783e-14,14.4513
0.24,2.06783e-14,15.0796
0.25,2.06783e-14,15.708
0.26,2.06783e-14,16.3363
0.27,2.06783e-14,16.9646
0.28,2.06783e-14,17.5929
0.29,2.06783e-14,18.2212
0.3,2.06783e-14,18.8496
0.31,2.06783e-14,19.4779
0.32,2.06783e-14,20.1062
0.33,2.06783e-14,20.7345
0.34,2.06783e-14,21.3628
0.35,2.06783e-14,21.9911
0.36,2.06783e-14,22.6195
0.37,2.06783e-14,23.2478
0.38,2.06783e-14,23.8761
0.39,2.06783e-14,24.5044
0.4,2.06783e-14,25.1327
0.41,2.06783e-14,25.7611
0.42,2.06783e-14,26.3894
0.43,2.06783e-14,27.0177
0.44,2.06783e-14,27.646
0.45,2.06783e-14,28.2743
0.46,2.06783e-14,28.9027
0.47,2.06783e-14,29.531
0.48,2.06783e-14,30.1593
0.49,2.06783e-14,30.7876
0.5,2.06783e-14,31.4159
0.51,2.06783e-14,32.0442
0.52,2.06783e-14,32.6726
0.53,2.06783e-14,33.3009
0.54,2.06783e-14,33.9292
0.55,2.06783e-14,34.5575
0.56,2.06783e-14,35.1858
0.57,2.06783e-14,35.8142
0.58,2.06783e-14,36.4425
0.59,2.06783e-14,37.0708
0.6,2.06783e-14,37.6991
0.61,2.06783e-14,38.3274
0.62,2.06783e-14,38.9557
0.63,2.06783e-14,39.5841
0.64,2.06783e-14,40.2124
0.65,2.06783e-14,40.8407
0.66,2.06783e-14,41.469
0.67,2.06783e-14,42.0973
0.68,2.06783e-14,42.7257
0.69,2.06783e-14,43.354
0.7,2.06783e-14,43.9823
0.71,2.06783e-14,44.6106
0.72,2.06783e-14,45.2389
0.73,2.06783e-14,45.8673
0.74,2.06783e-14,46.4956
0.75,2.06783e-14,47.1239
0.76,2.06783e-14,47.7522
0.77,2.06783e-14,48.3805
0.78,2.06783e-14,49.0088
0.79,2.06783e-14,49.6372
0.8,2.06783e-14,50.2655
0.81,2.06783e-14,50.8938
0.82,2.06783e-14,51.5221
0.83,2.06783e-14,52.1504
0.84,2.06783e-14,52.7788
0.85,2.06783e-14,53.4071
0.86,2.06783e-14,54.0354
0.87,2.06783e-14,54.6637
0.88,2.06783e-14,55.292
0.89,2.06783e-14,55.9203
0.9,2.06783e-14,56.5487
0.91,2.06783e-14,57.177
0.92,2.06783e-14,57.8053
0.93,2.06783e-14,58.4336
0.94,2.06783e-14,59.0619
0.95,2.06783e-14,59.6903
0.96,2.06783e-14,60.3186
0.97,2.06783e-14,60.9469
0.98,2.06783e-14,61.5752
0.99,2.06783e-14,62.2035
